testId,n,time_ms,total_from_out,expected_total,status,sorted
1,6,3,07,9048986,-1,PASS,true
2,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
3,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
4,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
5,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
6,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
7,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
8,200000,26,65,17328085165,-1,PASS,true
9,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
10,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
11,600000,37,56,5697447638,-1,PASS,true
12,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
13,800000,53,65,7754811946,-1,PASS,true
14,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
15,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
16,1500000,42,01,15220316819,-1,PASS,true
17,1750000,66,00,17931937775,-1,PASS,true
18,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
19,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
20,2400000,85,77,25174612514,-1,PASS,true
21,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
22,2490000,141,72,26170521874,-1,PASS,true
23,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
24,2500000,132,14,26289317354,-1,PASS,true
25,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
26,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
27,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
28,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
29,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
30,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
31,-1,-1,00,-1,-1,FAIL_ERROR: huffman.in: Процесс не может получить доступ к файлу, так как этот файл занят другим процессом,false
